"","uf","tipo_doenca","local_obito","faixa_etaria","sexo","total"
"55","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",36
"56","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"57","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",173
"58","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",185
"59","MG","Outras doenças respiratórias","IGNORADO","<= 39","F",3
"60","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",2
"61","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"62","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"63","MG","Outras doenças respiratórias","VIA_PUBLICA","<= 39","F",1
"64","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",6
"65","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",9
"66","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",1
"67","MS","Outras doenças","DOMICILIO","<= 39","F",9
"68","MS","Outras doenças","DOMICILIO","<= 39","M",11
"69","MS","Outras doenças","HOSPITAL","<= 39","F",120
"70","MS","Outras doenças","HOSPITAL","<= 39","M",148
"71","MS","Outras doenças","OUTRO","<= 39","M",2
"72","MS","Outras doenças","VIA_PUBLICA","<= 39","F",2
"73","MS","Outras doenças","VIA_PUBLICA","<= 39","M",3
"74","MS","Outras doenças","DOMICILIO","<= 39","M",1
"75","MS","Outras doenças","HOSPITAL","<= 39","F",1
"76","MS","Outras doenças","POSTO_SAUDE","<= 39","F",1
"77","MS","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"78","MS","Outras doenças respiratórias","DOMICILIO","<= 39","M",4
"79","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",11
"80","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",21
"81","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",16
"82","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",15
"83","MS","Outras doenças respiratórias","VIA_PUBLICA","<= 39","M",1
"84","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",34
"85","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",37
"86","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",1
"87","RJ","Outras doenças","DOMICILIO","<= 39","F",22
"88","RJ","Outras doenças","DOMICILIO","<= 39","M",18
"90","RJ","Outras doenças","HOSPITAL","<= 39","F",574
"92","RJ","Outras doenças","HOSPITAL","<= 39","M",643
"93","RJ","Outras doenças","IGNORADO","<= 39","M",1
"94","RJ","Outras doenças","OUTRO","<= 39","F",5
"95","RJ","Outras doenças","OUTRO","<= 39","M",2
"96","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",20
"97","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",22
"98","RJ","Outras doenças","VIA_PUBLICA","<= 39","F",3
"99","RJ","Outras doenças","VIA_PUBLICA","<= 39","M",6
"100","RJ","COVID-19","HOSPITAL","<= 39","F",21
"101","RJ","COVID-19","HOSPITAL","<= 39","M",18
"102","RJ","Outras doenças","DOMICILIO","<= 39","M",3
"103","RJ","Outras doenças","HOSPITAL","<= 39","F",2
"104","RJ","Outras doenças","HOSPITAL","<= 39","M",1
"105","RJ","Outras doenças","OUTRO","<= 39","M",1
"106","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",5
"107","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",36
"109","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",52
"110","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"111","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",5
"112","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"113","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",47
"114","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",55
"115","RJ","Outras doenças respiratórias","OUTRO","<= 39","F",1
"116","RJ","Outras doenças respiratórias","OUTRO","<= 39","M",1
"117","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",3
"118","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",8
"119","RJ","Outras doenças respiratórias","VIA_PUBLICA","<= 39","F",1
"120","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",240
"122","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",269
"123","RJ","Outras doenças respiratórias","IGNORADO","<= 39","F",1
"124","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"125","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",2
"126","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",6
"127","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",3
"128","DF","Outras doenças","DOMICILIO","<= 39","F",1
"129","DF","Outras doenças","DOMICILIO","<= 39","M",4
"130","DF","Outras doenças","HOSPITAL","<= 39","F",7
"131","DF","Outras doenças","HOSPITAL","<= 39","M",30
"132","DF","Outras doenças","OUTRO","<= 39","F",2
"133","DF","Outras doenças","OUTRO","<= 39","M",1
"134","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"135","DF","Outras doenças","VIA_PUBLICA","<= 39","F",1
"136","DF","Outras doenças","VIA_PUBLICA","<= 39","M",4
"137","DF","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"138","DF","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"139","DF","Outras doenças","HOSPITAL","<= 39","M",1
"140","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",1
"141","DF","Outras doenças respiratórias","OUTRO","<= 39","F",1
"142","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",5
"143","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",3
"144","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",1
"145","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",4
"146","MG","Outras doenças","DOMICILIO","<= 39","F",9
"147","MG","Outras doenças","DOMICILIO","<= 39","M",18
"148","MG","Outras doenças","HOSPITAL","<= 39","F",39
"149","MG","Outras doenças","HOSPITAL","<= 39","M",77
"150","MG","Outras doenças","IGNORADO","<= 39","M",6
"151","MG","Outras doenças","OUTRO","<= 39","F",1
"152","MG","Outras doenças","OUTRO","<= 39","M",15
"153","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",5
"154","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",10
"155","MG","Outras doenças","VIA_PUBLICA","<= 39","F",3
"156","MG","Outras doenças","VIA_PUBLICA","<= 39","M",16
"157","MG","COVID-19","HOSPITAL","<= 39","M",3
"158","MG","COVID-19","OUTRO","<= 39","M",1
"159","MG","Outras doenças","DOMICILIO","<= 39","F",2
"160","MG","Outras doenças","DOMICILIO","<= 39","M",1
"161","MG","Outras doenças","OUTRO","<= 39","M",3
"162","MG","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"163","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",10
"164","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",8
"165","MG","Outras doenças respiratórias","IGNORADO","<= 39","F",2
"166","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"167","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",2
"168","MG","Outras doenças respiratórias","DOMICILIO","<= 39","F",2
"169","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",2
"170","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",12
"171","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",17
"172","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"173","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",2
"174","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",15
"175","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",28
"176","MG","Outras doenças respiratórias","IGNORADO","<= 39","F",1
"177","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",1
"178","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"179","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",2
"180","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"181","MS","Outras doenças","DOMICILIO","<= 39","F",7
"182","MS","Outras doenças","DOMICILIO","<= 39","M",10
"183","MS","Outras doenças","HOSPITAL","<= 39","F",6
"184","MS","Outras doenças","HOSPITAL","<= 39","M",11
"185","MS","Outras doenças","OUTRO","<= 39","M",1
"186","MS","Outras doenças","VIA_PUBLICA","<= 39","F",1
"187","MS","Outras doenças","VIA_PUBLICA","<= 39","M",5
"188","MS","COVID-19","HOSPITAL","<= 39","F",1
"189","MS","Outras doenças","POSTO_SAUDE","<= 39","F",1
"190","MS","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"191","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",1
"192","MS","Outras doenças respiratórias","VIA_PUBLICA","<= 39","M",1
"193","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",5
"194","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",5
"195","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",7
"196","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",1
"197","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",1
"198","RJ","Outras doenças","DOMICILIO","<= 39","F",4
"199","RJ","Outras doenças","DOMICILIO","<= 39","M",17
"200","RJ","Outras doenças","HOSPITAL","<= 39","F",64
"201","RJ","Outras doenças","HOSPITAL","<= 39","M",134
"202","RJ","Outras doenças","OUTRO","<= 39","F",5
"203","RJ","Outras doenças","OUTRO","<= 39","M",14
"204","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",16
"205","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",35
"206","RJ","Outras doenças","VIA_PUBLICA","<= 39","F",2
"207","RJ","Outras doenças","VIA_PUBLICA","<= 39","M",24
"208","RJ","COVID-19","DOMICILIO","<= 39","F",1
"209","RJ","COVID-19","HOSPITAL","<= 39","F",5
"210","RJ","COVID-19","HOSPITAL","<= 39","M",9
"211","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"212","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"213","RJ","Outras doenças","DOMICILIO","<= 39","M",1
"214","RJ","Outras doenças","HOSPITAL","<= 39","F",1
"215","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"216","RJ","Outras doenças","VIA_PUBLICA","<= 39","M",1
"217","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"218","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",8
"219","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",11
"220","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"221","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",3
"222","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"223","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",17
"224","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",28
"225","RJ","Outras doenças respiratórias","OUTRO","<= 39","F",1
"226","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",4
"227","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",4
"228","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"229","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",30
"230","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",20
"231","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",4
"232","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",1
"233","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",2
"234","DF","Outras doenças","DOMICILIO","<= 39","F",4
"235","DF","Outras doenças","DOMICILIO","<= 39","M",11
"236","DF","Outras doenças","HOSPITAL","<= 39","F",28
"237","DF","Outras doenças","HOSPITAL","<= 39","M",83
"238","DF","Outras doenças","IGNORADO","<= 39","M",1
"239","DF","Outras doenças","OUTRO","<= 39","F",1
"240","DF","Outras doenças","OUTRO","<= 39","M",7
"241","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"242","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"243","DF","Outras doenças","VIA_PUBLICA","<= 39","F",1
"244","DF","Outras doenças","VIA_PUBLICA","<= 39","M",19
"245","DF","COVID-19","HOSPITAL","<= 39","F",6
"246","DF","COVID-19","HOSPITAL","<= 39","M",7
"247","DF","Outras doenças","HOSPITAL","<= 39","F",1
"248","DF","Outras doenças","HOSPITAL","<= 39","M",4
"249","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",3
"250","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",5
"251","DF","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"252","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",6
"253","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",12
"254","DF","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"255","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",8
"256","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",9
"257","DF","Outras doenças respiratórias","OUTRO","<= 39","M",1
"258","MG","Outras doenças","DOMICILIO","<= 39","F",28
"259","MG","Outras doenças","DOMICILIO","<= 39","M",73
"260","MG","Outras doenças","HOSPITAL","<= 39","F",82
"261","MG","Outras doenças","HOSPITAL","<= 39","M",167
"262","MG","Outras doenças","IGNORADO","<= 39","F",3
"263","MG","Outras doenças","IGNORADO","<= 39","M",7
"264","MG","Outras doenças","OUTRO","<= 39","F",15
"265","MG","Outras doenças","OUTRO","<= 39","M",42
"266","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",12
"267","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",23
"268","MG","Outras doenças","VIA_PUBLICA","<= 39","F",10
"269","MG","Outras doenças","VIA_PUBLICA","<= 39","M",80
"270","MG","COVID-19","DOMICILIO","<= 39","M",1
"271","MG","COVID-19","HOSPITAL","<= 39","F",5
"272","MG","COVID-19","HOSPITAL","<= 39","M",13
"273","MG","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"274","MG","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"275","MG","Outras doenças","DOMICILIO","<= 39","F",1
"276","MG","Outras doenças","DOMICILIO","<= 39","M",6
"277","MG","Outras doenças","HOSPITAL","<= 39","F",2
"278","MG","Outras doenças","HOSPITAL","<= 39","M",5
"279","MG","Outras doenças","OUTRO","<= 39","F",2
"280","MG","Outras doenças","OUTRO","<= 39","M",2
"281","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"282","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"283","MG","Outras doenças","VIA_PUBLICA","<= 39","M",1
"284","MG","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"285","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",13
"286","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",22
"287","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"288","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"289","MG","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"290","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"291","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",22
"292","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",46
"293","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",3
"294","MG","Outras doenças respiratórias","OUTRO","<= 39","M",2
"295","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"296","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",3
"297","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"298","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",39
"299","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",44
"300","MG","Outras doenças respiratórias","IGNORADO","<= 39","F",1
"301","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",1
"302","MG","Outras doenças respiratórias","OUTRO","<= 39","F",1
"303","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"304","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",2
"305","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",3
"306","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",3
"307","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"308","MS","Outras doenças","DOMICILIO","<= 39","F",10
"309","MS","Outras doenças","DOMICILIO","<= 39","M",10
"310","MS","Outras doenças","HOSPITAL","<= 39","F",11
"311","MS","Outras doenças","HOSPITAL","<= 39","M",27
"312","MS","Outras doenças","IGNORADO","<= 39","M",1
"313","MS","Outras doenças","OUTRO","<= 39","M",8
"314","MS","Outras doenças","VIA_PUBLICA","<= 39","F",2
"315","MS","Outras doenças","VIA_PUBLICA","<= 39","M",16
"316","MS","COVID-19","HOSPITAL","<= 39","F",1
"317","MS","COVID-19","HOSPITAL","<= 39","M",1
"318","MS","Outras doenças","HOSPITAL","<= 39","M",1
"319","MS","Outras doenças","POSTO_SAUDE","<= 39","M",1
"320","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",3
"321","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",2
"322","MS","Outras doenças respiratórias","POSTO_SAUDE","<= 39","M",1
"323","MS","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"324","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",6
"325","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",11
"326","MS","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"327","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",9
"328","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",11
"329","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",2
"330","RJ","Outras doenças","DOMICILIO","<= 39","F",31
"331","RJ","Outras doenças","DOMICILIO","<= 39","M",64
"332","RJ","Outras doenças","HOSPITAL","<= 39","F",145
"333","RJ","Outras doenças","HOSPITAL","<= 39","M",408
"334","RJ","Outras doenças","IGNORADO","<= 39","F",2
"335","RJ","Outras doenças","IGNORADO","<= 39","M",2
"336","RJ","Outras doenças","OUTRO","<= 39","F",11
"337","RJ","Outras doenças","OUTRO","<= 39","M",71
"338","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",48
"339","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",105
"340","RJ","Outras doenças","VIA_PUBLICA","<= 39","F",8
"341","RJ","Outras doenças","VIA_PUBLICA","<= 39","M",93
"342","RJ","COVID-19","HOSPITAL","<= 39","F",51
"343","RJ","COVID-19","HOSPITAL","<= 39","M",51
"344","RJ","COVID-19","IGNORADO","<= 39","M",1
"345","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","F",7
"346","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",12
"347","RJ","Outras doenças","DOMICILIO","<= 39","F",1
"348","RJ","Outras doenças","DOMICILIO","<= 39","M",1
"349","RJ","Outras doenças","HOSPITAL","<= 39","M",3
"350","RJ","Outras doenças","OUTRO","<= 39","M",3
"351","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"352","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",4
"353","RJ","Outras doenças","VIA_PUBLICA","<= 39","M",1
"354","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"355","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",6
"356","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",23
"357","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",27
"358","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",6
"359","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",10
"360","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"361","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",51
"362","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",78
"363","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",11
"364","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",10
"365","RJ","Outras doenças respiratórias","VIA_PUBLICA","<= 39","M",2
"366","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"367","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",60
"368","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",62
"369","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",3
"370","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",9
"371","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",7
"372","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",5
"373","DF","Outras doenças","DOMICILIO","<= 39","F",5
"374","DF","Outras doenças","DOMICILIO","<= 39","M",25
"375","DF","Outras doenças","HOSPITAL","<= 39","F",58
"376","DF","Outras doenças","HOSPITAL","<= 39","M",108
"377","DF","Outras doenças","OUTRO","<= 39","F",2
"378","DF","Outras doenças","OUTRO","<= 39","M",12
"379","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",3
"380","DF","Outras doenças","VIA_PUBLICA","<= 39","F",2
"381","DF","Outras doenças","VIA_PUBLICA","<= 39","M",19
"382","DF","COVID-19","DOMICILIO","<= 39","M",2
"383","DF","COVID-19","HOSPITAL","<= 39","F",10
"384","DF","COVID-19","HOSPITAL","<= 39","M",19
"385","DF","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",1
"386","DF","Outras doenças","DOMICILIO","<= 39","M",1
"387","DF","Outras doenças","HOSPITAL","<= 39","F",2
"388","DF","Outras doenças","HOSPITAL","<= 39","M",5
"389","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"390","DF","Outras doenças respiratórias","DOMICILIO","<= 39","M",3
"391","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",9
"392","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",7
"393","DF","Outras doenças respiratórias","OUTRO","<= 39","M",1
"394","DF","Outras doenças respiratórias","DOMICILIO","<= 39","F",1
"395","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",14
"396","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",19
"397","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"398","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",14
"399","DF","Outras doenças respiratórias","HOSPITAL","<= 39","M",14
"400","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",1
"401","DF","Outras doenças respiratórias","HOSPITAL","<= 39","F",1
"402","MG","Outras doenças","DOMICILIO","<= 39","F",83
"403","MG","Outras doenças","DOMICILIO","<= 39","M",173
"404","MG","Outras doenças","HOSPITAL","<= 39","F",250
"405","MG","Outras doenças","HOSPITAL","<= 39","M",334
"406","MG","Outras doenças","IGNORADO","<= 39","F",12
"407","MG","Outras doenças","IGNORADO","<= 39","M",21
"408","MG","Outras doenças","OUTRO","<= 39","F",14
"409","MG","Outras doenças","OUTRO","<= 39","M",54
